week_start,keyword,interest,month,year,season
2021-04-25,Alo Yoga black,0,Apr,2021,Spring
2021-05-02,Alo Yoga black,0,May,2021,Spring
2021-05-09,Alo Yoga black,0,May,2021,Spring
2021-05-16,Alo Yoga black,0,May,2021,Spring
2021-05-23,Alo Yoga black,0,May,2021,Spring
2021-05-30,Alo Yoga black,0,May,2021,Spring
2021-06-06,Alo Yoga black,0,Jun,2021,Summer
2021-06-13,Alo Yoga black,0,Jun,2021,Summer
2021-06-20,Alo Yoga black,0,Jun,2021,Summer
2021-06-27,Alo Yoga black,0,Jun,2021,Summer
2021-07-04,Alo Yoga black,0,Jul,2021,Summer
2021-07-11,Alo Yoga black,0,Jul,2021,Summer
2021-07-18,Alo Yoga black,0,Jul,2021,Summer
2021-07-25,Alo Yoga black,0,Jul,2021,Summer
2021-08-01,Alo Yoga black,0,Aug,2021,Summer
2021-08-08,Alo Yoga black,0,Aug,2021,Summer
2021-08-15,Alo Yoga black,0,Aug,2021,Summer
2021-08-22,Alo Yoga black,0,Aug,2021,Summer
2021-08-29,Alo Yoga black,0,Aug,2021,Summer
2021-09-05,Alo Yoga black,0,Sep,2021,Fall
2021-09-12,Alo Yoga black,0,Sep,2021,Fall
2021-09-19,Alo Yoga black,0,Sep,2021,Fall
2021-09-26,Alo Yoga black,0,Sep,2021,Fall
2021-10-03,Alo Yoga black,0,Oct,2021,Fall
2021-10-10,Alo Yoga black,0,Oct,2021,Fall
2021-10-17,Alo Yoga black,4,Oct,2021,Fall
2021-10-24,Alo Yoga black,0,Oct,2021,Fall
2021-10-31,Alo Yoga black,5,Oct,2021,Fall
2021-11-07,Alo Yoga black,8,Nov,2021,Fall
2021-11-14,Alo Yoga black,7,Nov,2021,Fall
2021-11-21,Alo Yoga black,25,Nov,2021,Fall
2021-11-28,Alo Yoga black,7,Nov,2021,Fall
2021-12-05,Alo Yoga black,4,Dec,2021,Winter
2021-12-12,Alo Yoga black,6,Dec,2021,Winter
2021-12-19,Alo Yoga black,0,Dec,2021,Winter
2021-12-26,Alo Yoga black,4,Dec,2021,Winter
2022-01-02,Alo Yoga black,6,Jan,2022,Winter
2022-01-09,Alo Yoga black,4,Jan,2022,Winter
2022-01-16,Alo Yoga black,4,Jan,2022,Winter
2022-01-23,Alo Yoga black,4,Jan,2022,Winter
2022-01-30,Alo Yoga black,4,Jan,2022,Winter
2022-02-06,Alo Yoga black,5,Feb,2022,Winter
2022-02-13,Alo Yoga black,2,Feb,2022,Winter
2022-02-20,Alo Yoga black,3,Feb,2022,Winter
2022-02-27,Alo Yoga black,0,Feb,2022,Winter
2022-03-06,Alo Yoga black,4,Mar,2022,Spring
2022-03-13,Alo Yoga black,2,Mar,2022,Spring
2022-03-20,Alo Yoga black,3,Mar,2022,Spring
2022-03-27,Alo Yoga black,3,Mar,2022,Spring
2022-04-03,Alo Yoga black,0,Apr,2022,Spring
2022-04-10,Alo Yoga black,3,Apr,2022,Spring
2022-04-17,Alo Yoga black,2,Apr,2022,Spring
2022-04-24,Alo Yoga black,3,Apr,2022,Spring
2022-05-01,Alo Yoga black,0,May,2022,Spring
2022-05-08,Alo Yoga black,2,May,2022,Spring
2022-05-15,Alo Yoga black,2,May,2022,Spring
2022-05-22,Alo Yoga black,3,May,2022,Spring
2022-05-29,Alo Yoga black,0,May,2022,Spring
2022-06-05,Alo Yoga black,4,Jun,2022,Summer
2022-06-12,Alo Yoga black,3,Jun,2022,Summer
2022-06-19,Alo Yoga black,0,Jun,2022,Summer
2022-06-26,Alo Yoga black,3,Jun,2022,Summer
2022-07-03,Alo Yoga black,0,Jul,2022,Summer
2022-07-10,Alo Yoga black,4,Jul,2022,Summer
2022-07-17,Alo Yoga black,0,Jul,2022,Summer
2022-07-24,Alo Yoga black,3,Jul,2022,Summer
2022-07-31,Alo Yoga black,5,Jul,2022,Summer
2022-08-07,Alo Yoga black,4,Aug,2022,Summer
2022-08-14,Alo Yoga black,3,Aug,2022,Summer
2022-08-21,Alo Yoga black,3,Aug,2022,Summer
2022-08-28,Alo Yoga black,4,Aug,2022,Summer
2022-09-04,Alo Yoga black,4,Sep,2022,Fall
2022-09-11,Alo Yoga black,4,Sep,2022,Fall
2022-09-18,Alo Yoga black,4,Sep,2022,Fall
2022-09-25,Alo Yoga black,4,Sep,2022,Fall
2022-10-02,Alo Yoga black,5,Oct,2022,Fall
2022-10-09,Alo Yoga black,6,Oct,2022,Fall
2022-10-16,Alo Yoga black,7,Oct,2022,Fall
2022-10-23,Alo Yoga black,5,Oct,2022,Fall
2022-10-30,Alo Yoga black,9,Oct,2022,Fall
2022-11-06,Alo Yoga black,15,Nov,2022,Fall
2022-11-13,Alo Yoga black,18,Nov,2022,Fall
2022-11-20,Alo Yoga black,69,Nov,2022,Fall
2022-11-27,Alo Yoga black,16,Nov,2022,Fall
2022-12-04,Alo Yoga black,8,Dec,2022,Winter
2022-12-11,Alo Yoga black,5,Dec,2022,Winter
2022-12-18,Alo Yoga black,5,Dec,2022,Winter
2022-12-25,Alo Yoga black,6,Dec,2022,Winter
2023-01-01,Alo Yoga black,5,Jan,2023,Winter
2023-01-08,Alo Yoga black,4,Jan,2023,Winter
2023-01-15,Alo Yoga black,5,Jan,2023,Winter
2023-01-22,Alo Yoga black,5,Jan,2023,Winter
2023-01-29,Alo Yoga black,4,Jan,2023,Winter
2023-02-05,Alo Yoga black,4,Feb,2023,Winter
2023-02-12,Alo Yoga black,3,Feb,2023,Winter
