particl_color_tag,tone_group,product_count,total_revenue,avg_revenue,avg_sell_through,avg_discount,avg_price,avg_rating,total_volume,revenue_per_product,color_tag,trends_Fall,trends_Spring,trends_Summer,trends_Winter,best_search_season,peak_search_interest,avg_polarity,avg_subjectivity,post_count,positive_pct,neutral_pct,negative_pct,sentiment_label
Black,Dark Neutrals,50,72745197,1454903.94,12.3998,0,117.54,NA,614810,1454904,black,11.68,7.69,4.67,5.97,Unknown,11.68,-0,0.236,100,25,57,18,Neutral
White,Light Neutrals,43,19171563,445850.3023255814,12.130952380952381,0,112.97674418604652,NA,211867,445850,white,4.34,6.03,3.82,4.5,Spring,6.03,0.005,0.18,100,17,68,15,Neutral
Blue,Blues,50,18677496,373549.92,13.27025,0,113.6,NA,170367,373550,blue,1.86,2.94,2.17,2.09,Spring,2.94,0.022,0.213,100,19,73,8,Neutral
Grey,Greys,23,14389815,625644.1304347826,10.773181818181818,0,124.21739130434783,NA,110491,625644,grey,0.34,0.91,0.64,0.16,Spring,0.91,0.038,0.234,100,29,54,17,Neutral
Brown,Earth Tones,33,12727738,385689.0303030303,13.478787878787879,0,139.36363636363637,NA,101720,385689,brown,1.38,0.96,0.3,0.8,Unknown,1.38,0.064,0.262,31,29,54.8,16.1,Positive
Pink,Pinks,48,11658550,242886.45833333334,30.381666666666668,0,112.45833333333333,NA,105683,242886,pink,7.15,12.04,6.94,11.64,Spring,12.04,0.044,0.344,100,44,25,31,Neutral
Grey,Other,26,11084507,426327.1923076923,27.979615384615386,0,116.53846153846153,NA,94851,426327,grey,0.34,0.91,0.64,0.16,Spring,0.91,0.038,0.234,100,29,54,17,Neutral
Brown,Light Neutrals,14,5158628,368473.4285714286,49.93071428571429,0,114.42857142857143,NA,44436,368473,brown,1.38,0.96,0.3,0.8,Unknown,1.38,0.064,0.262,31,29,54.8,16.1,Positive
Yellow,Yellows/Golds,38,4499398,118405.21052631579,41.252857142857145,0,127.65789473684211,NA,49062,118405,yellow,0,2.93,0,0.16,Spring,2.93,0.021,0.175,32,28.1,65.6,6.2,Neutral
Green,Greens,47,4267347,90794.6170212766,42.73230769230769,0,170.40425531914894,NA,36823,90795,green,4.22,6.54,2.17,4.03,Spring,6.54,-0.03,0.284,100,25,30,45,Neutral
White,Dark Neutrals,3,4009026,1336342,8.84,0,139,NA,39284,1336342,white,4.34,6.03,3.82,4.5,Spring,6.03,0.005,0.18,100,17,68,15,Neutral
Red,Reds,47,1602600,34097.87234042553,19.136,0,119.1063829787234,NA,15240,34098,red,2.88,5.64,2.48,5.36,Spring,5.64,0.112,0.277,99,61.6,34.3,4,Positive
Purple,Purples,25,1554479,62179.16,48.535909090909094,0.032544,122.36,NA,14513,62179,purple,0,1.48,0,0.34,Spring,1.48,0.056,0.111,29,20.7,75.9,3.4,Positive
White,Greys,2,1032328,516164,3.61,0,111,NA,10604,516164,white,4.34,6.03,3.82,4.5,Spring,6.03,0.005,0.18,100,17,68,15,Neutral
White,Pinks,2,698740,349370,22.475,0,139,NA,5025,349370,white,4.34,6.03,3.82,4.5,Spring,6.03,0.005,0.18,100,17,68,15,Neutral
Brown,Other,3,290574,96858,35.21,0,247,NA,1258,96858,brown,1.38,0.96,0.3,0.8,Unknown,1.38,0.064,0.262,31,29,54.8,16.1,Positive
Green,Other,3,256324,85441.33333333333,62.67,0,54,NA,6488,85441,green,4.22,6.54,2.17,4.03,Spring,6.54,-0.03,0.284,100,25,30,45,Neutral
Yellow,Other,9,229008,25445.333333333332,23.17222222222222,0,58.22222222222222,NA,7634,25445,yellow,0,2.93,0,0.16,Spring,2.93,0.021,0.175,32,28.1,65.6,6.2,Neutral
Pink,Light Neutrals,1,201552,201552,46.6,0,34,NA,5928,201552,pink,7.15,12.04,6.94,11.64,Spring,12.04,0.044,0.344,100,44,25,31,Neutral
Grey,Light Neutrals,1,125460,125460,3.95,0,34,NA,3690,125460,grey,0.34,0.91,0.64,0.16,Spring,0.91,0.038,0.234,100,29,54,17,Neutral
Pink,Reds,1,108222,108222,NA,0,34,NA,3183,108222,pink,7.15,12.04,6.94,11.64,Spring,12.04,0.044,0.344,100,44,25,31,Neutral
Purple,Pinks,1,94088,94088,4.09,0,38,NA,2476,94088,purple,0,1.48,0,0.34,Spring,1.48,0.056,0.111,29,20.7,75.9,3.4,Positive
Yellow,Earth Tones,2,67424,33712,7.36,0,28,NA,2408,33712,yellow,0,2.93,0,0.16,Spring,2.93,0.021,0.175,32,28.1,65.6,6.2,Neutral
Red,Other,2,54100,27050,26.43,0,2950,NA,19,27050,red,2.88,5.64,2.48,5.36,Spring,5.64,0.112,0.277,99,61.6,34.3,4,Positive
Red,Light Neutrals,1,28424,28424,10.7,0,34,NA,836,28424,red,2.88,5.64,2.48,5.36,Spring,5.64,0.112,0.277,99,61.6,34.3,4,Positive
Purple,Other,1,5248,5248,2.29,0,128,NA,41,5248,purple,0,1.48,0,0.34,Spring,1.48,0.056,0.111,29,20.7,75.9,3.4,Positive
Orange,Oranges/Warm,2,0,0,NA,0.4063,76,NA,0,0,orange,0,0.03,0,0,Spring,0.03,-0.007,0.169,8,12.5,62.5,25,Neutral
Purple,Reds,3,0,0,NA,0.40646666666666664,61.333333333333336,NA,0,0,purple,0,1.48,0,0.34,Spring,1.48,0.056,0.111,29,20.7,75.9,3.4,Positive
