1 filter(s) applied: Color is exactly Green,
company_domain,company_id,product_id,product_title,min_current_price,max_current_price,avg_current_price,avg_full_price,avg_discount,sales_volume,sales_volume_upper_bound,sales_volume_lower_bound,sales_revenue,sales_revenue_upper_bound,sales_revenue_lower_bound,rate_sold,sell_through_rate,review_count,avg_rating,key_phrases,colors,matched_variant_count,total_variant_count,product_first_seen,product_url,image_url,
www.aloyoga.com,1004856,9092867817831,Suit Up Trouser (Regular) - Olive Tree,148,148,148,148,0,2353,2756,1950,348244,407754.8,288733.2,84.035714,0.481975,0,,,Green,5,5,2026-02-14,https://www.aloyoga.com/products/w51432r-suit-up-trouser-regular-olive-tree,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092867817831_20260228.png,
www.aloyoga.com,1004856,9092863885671,Accolade Full Zip Hoodie - Olive Tree,148,148,148,148,0,2010,2305,1715,297480,341080.8,253879.2,71.785714,0.504645,0,,,Green,7,7,2026-02-14,https://www.aloyoga.com/products/u3041rg-accolade-full-zip-hoodie-olive-tree,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092863885671_20260228.png,
www.aloyoga.com,1004856,9092867948903,Serenity Wide Leg Sweatpant - Olive Tree,128,128,128,128,0,1845,2146,1544,236160,274662.4,197657.6,65.892857,0.262074,0,,,Green,5,5,2026-02-14,https://www.aloyoga.com/products/w54162r-serenity-wide-leg-sweatpant-olive-tree,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092867948903_20260227.png,
www.aloyoga.com,1004856,9092870111591,Match Point Short - Olive Tree,78,78,78,78,0,2480,2769,2191,193440,215966.4,170913.6,88.571429,0.41555,0,,,Green,5,5,2026-02-14,https://www.aloyoga.com/products/w6334r-match-point-short-olive-tree,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092870111591_20260227.png,
www.aloyoga.com,1004856,9092863230311,7" Repetition Short - Desert Sage,78,78,78,78,0,2168,2449,1887,169104,191022,147186,77.428571,0.909396,0,,,Green,5,5,2026-03-11,https://www.aloyoga.com/products/m6154r-7-repetition-short-desert-sage,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092863230311_20260314.png,
www.aloyoga.com,1004856,9092892623207,Accolade Straight Leg Sweatpant - Olive Tree,138,138,138,138,0,1094,1266,922,150972,174680.4,127263.6,39.071429,0.394376,0,,,Green,7,7,2026-02-14,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-olive-tree-mens,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092892623207_20260302.png,
www.aloyoga.com,1004856,9092865130855,Polar Fleece Retreat Cover Up - Olive Tree,168,168,168,168,0,781,901,661,131208,151368,111048,27.892857,0.442493,0,,,Green,5,5,2026-02-14,https://www.aloyoga.com/products/w31007r-polar-fleece-retreat-cover-up-olive-tree,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092865130855_20260227.png,
www.aloyoga.com,1004856,9092866277735,Cropped Sway Crew Neck Pullover - Olive Tree,118,118,118,118,0,1073,1226,920,126614,144585.4,108642.6,38.321429,0.664808,0,,,Green,5,5,2026-02-14,https://www.aloyoga.com/products/w3937r-cropped-sway-crew-neck-pullover-olive-tree,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092866277735_20260228.png,
www.aloyoga.com,1004856,9092867490151,Cropped Fan Favorite Full Zip Jacket - Olive Tree,198,198,198,198,0,626,708,544,123948,140025.6,107870.4,22.357143,0.541991,0,,,Green,5,5,2026-02-21,https://www.aloyoga.com/products/w4778r-cropped-fan-favorite-full-zip-jacket-olive-tree,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092867490151_20260303.png,
www.aloyoga.com,1004856,9092860707175,ALO Vapor Crewneck Short Sleeve - Desert Sage,68,68,68,68,0,1812,2000,1624,123216,135993.2,110438.8,64.714286,0.821769,0,,,Green,5,5,2026-03-11,https://www.aloyoga.com/products/m1228r-alo-vapor-crewneck-short-sleeve-desert-sage,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092860707175_20260314.png,
