1 filter(s) applied: Color is exactly Grey,
company_domain,company_id,product_id,product_title,min_current_price,max_current_price,avg_current_price,avg_full_price,avg_discount,sales_volume,sales_volume_upper_bound,sales_volume_lower_bound,sales_revenue,sales_revenue_upper_bound,sales_revenue_lower_bound,rate_sold,sell_through_rate,review_count,avg_rating,key_phrases,colors,matched_variant_count,total_variant_count,product_first_seen,product_url,image_url,
www.aloyoga.com,1004856,7850754179252,Accolade 1/4 Zip Pullover - Athletic Heather Grey,148,148,148,148,0,26892,31112,22672,3980016,4604546.4,3355485.6,960.428571,0.229564,0,,Oversized fit | Very warm | Comfy casual | Stylish design | Color variety,Grey,7,7,2024-12-08,https://www.aloyoga.com/products/u3040rg-accolade-1-4-zip-pullover-athletic-heather-grey,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7850754179252_20260115.png,
www.aloyoga.com,1004856,7366569427124,Accolade Straight Leg Sweatpant - Athletic Heather Grey,138,138,138,138,0,14794,17429,12159,2041572,2405119.2,1678024.8,528.357143,0.080844,0,,Cozy oversized fit | Soft and comfortable | Stylish sweat pant | High-quality material | Runs big  size down,Grey,7,7,2023-08-04,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-swtpnt-athletic-heather-grey,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7366569427124_20260115.png,
www.aloyoga.com,1004856,9092867850599,Suit Up Trouser (Regular) - Gravel,148,148,148,148,0,12870,14308,11432,1904760,2117480.4,1692039.6,459.642857,0.287097,0,,,Grey,5,5,2026-03-14,https://www.aloyoga.com/products/w51432r-suit-up-trouser-regular-gravel,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092867850599_20260314.png,
www.aloyoga.com,1004856,7325031858356,Accolade Sweatpant - Athletic Heather Grey,138,138,138,138,0,11778,14180,9376,1625364,1956729.6,1293998.4,420.642857,0.080238,0,,Soft and comfy | Great fit and material | Amazing quality | Torn seam issue | Short length and baggy fit,Grey,7,7,2023-04-08,https://www.aloyoga.com/products/u5013rg-accolade-sweatpant-athletic-heather-grey,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7325031858356_20260115.png,
www.aloyoga.com,1004856,7569945723060,Accolade Crew Neck Pullover - Gravel,138,138,138,138,0,11364,13832,8896,1568232,1908788.4,1227675.6,405.857143,0.049297,0,,Great fit | Soft material | Runs big | Expensive feel | Peeling issues,Grey,7,7,2024-06-14,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-gravel-1,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7569945723060_20260303.png,
www.aloyoga.com,1004856,7325031268532,Accolade Crew Neck Pullover - Athletic Heather Grey,138,138,138,138,0,8008,9748,6268,1105104,1345224,864984,286,0.05437,0,,Soft and comfy | Sheds like crazy | Love it | Overpriced | Perfect color for summer,Grey,7,7,2023-04-08,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-athletic-heather-grey,,
www.aloyoga.com,1004856,7569581277364,Sway Bootcut Sweatpant - Athletic Heather Grey,128,128,128,128,0,7776,9279,6273,995328,1187635.2,803020.8,277.714286,0.242152,0,,Comfortable Fit | Soft Material | Stylish Design | Perfect Length | Versatile Wear,Grey,5,5,2024-06-28,https://www.aloyoga.com/products/w51304r-sway-boot-cut-sweatpant-athletic-heather-grey,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7569581277364_20260302.png,
www.aloyoga.com,1004856,7569945690292,Accolade Straight Leg Sweatpant - Gravel,138,138,138,138,0,6888,7768,6008,950544,1071984,829104,246,0.058988,0,,,Grey,7,7,2024-06-14,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-gravel-1,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7569945690292_20260227.png,
www.aloyoga.com,1004856,7850754998452,Accolade Full Zip Hoodie - Athletic Heather Grey,148,148,148,148,0,5038,5892,4184,745624,871927.2,619320.8,179.928571,0.031013,0,,,Grey,7,7,2024-12-29,https://www.aloyoga.com/products/u3041rg-accolade-full-zip-hoodie-athletic-heather-grey,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7850754998452_20260124.png,
www.aloyoga.com,1004856,7902720196788,ALO Runner - Gravel,195,195,195,195,0,3586,4029,3143,699270,785577,612963,128.071429,0.071216,0,,,Grey,26,27,2025-02-21,https://www.aloyoga.com/products/a0590u-alo-runner-gravel,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/7902720196788_20251105.png,
