1 filter(s) applied: Color is exactly Yellow,
company_domain,company_id,product_id,product_title,min_current_price,max_current_price,avg_current_price,avg_full_price,avg_discount,sales_volume,sales_volume_upper_bound,sales_volume_lower_bound,sales_revenue,sales_revenue_upper_bound,sales_revenue_lower_bound,rate_sold,sell_through_rate,review_count,avg_rating,key_phrases,colors,matched_variant_count,total_variant_count,product_first_seen,product_url,image_url,
www.aloyoga.com,1004856,9092865720679,Cropped 1/4 Zip Alumni Pullover - Sunshine,128,128,128,128,0,3900,4455,3345,499200,570150.4,428249.6,169.565217,,0,,,Yellow,5,5,2026-03-28,https://www.aloyoga.com/products/w3660r-cropped-1-4-zip-alumni-pullover-sunshine,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092865720679_20260328.png,
www.aloyoga.com,1004856,9092870701415,Accolade Short - Sunshine,78,78,78,78,0,5592,6470,4714,436176,504589.8,367762.2,243.130435,,0,,,Yellow,5,5,2026-03-28,https://www.aloyoga.com/products/w6472rg-accolade-short-sunshine,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092870701415_20260328.png,
www.aloyoga.com,1004856,9092871029095,Breezy Short - Sunshine,78,78,78,78,0,3810,4392,3228,297180,342576,251784,165.652174,,0,,,Yellow,5,5,2026-03-28,https://www.aloyoga.com/products/w6543r-breezy-short-sunshine,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092871029095_20260328.png,
www.aloyoga.com,1004856,9092872143207,Airbrush Splendor Dress - Sunshine,138,138,138,138,0,2109,2411,1807,291042,332621.4,249462.6,91.695652,,0,,,Yellow,5,5,2026-03-28,https://www.aloyoga.com/products/w8346r-airbrush-splendor-dress-sunshine,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092872143207_20260328.png,
www.aloyoga.com,1004856,9092874502503,ALO Softsculpt No Nonsense Bra Tank - Sunshine,88,88,88,88,0,3022,3505,2539,265936,308422.4,223449.6,131.391304,,0,,,Yellow,5,5,2026-03-28,https://www.aloyoga.com/products/w9940r-alo-softsculpt-no-nonsense-bra-tank-sunshine,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092874502503_20260328.png,
www.aloyoga.com,1004856,9092866802023,Cropped Breezy Full-Zip Cover Up - Sunshine,128,128,128,128,0,1751,2014,1488,224128,257792,190464,76.130435,,0,,,Yellow,5,5,2026-03-28,https://www.aloyoga.com/products/w4721r-cropped-breezy-full-zip-cover-up-sunshine,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092866802023_20260328.png,
www.aloyoga.com,1004856,9092864377191,Alosoft Crop Finesse Short Sleeve - Sunshine,68,68,68,68,0,3139,3582,2696,213452,243569.2,183334.8,136.478261,,0,,,Yellow,5,5,2026-03-28,https://www.aloyoga.com/products/w1406r-alosoft-crop-finesse-short-sleeve-sunshine,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092864377191_20260328.png,
www.aloyoga.com,1004856,9092869947751,Alumni Short - Sunshine,78,78,78,78,0,2666,3028,2304,207948,236184,179712,115.913043,,0,,,Yellow,5,5,2026-03-28,https://www.aloyoga.com/products/w6273r-alumni-short-sunshine,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092869947751_20260328.png,
www.aloyoga.com,1004856,9092820468071,Cropped Accolade Crewneck - Candlelight Yellow,128,128,128,128,0,1584,1752,1416,202752,224256,181248,56.571429,0.239528,0,,,Yellow,5,5,2026-01-01,https://www.aloyoga.com/products/w3924rg-cropped-accolade-crewneck-candlelight-yellow,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092820468071_20260228.png,
www.aloyoga.com,1004856,9092829315431,ALO Sunset Sneaker - Candlelight Yellow,225,225,225,225,0,738,901,575,166050,202635,129465,26.357143,0.346805,0,,,Yellow,12,12,2026-01-01,https://www.aloyoga.com/products/a0891u-alo-sunset-sneaker-candlelight-yellow,https://particl-media.s3.amazonaws.com/shared/ai-generated-products/1004856/9092829315431_20260302.png,
